SampleID	Target	Length	Quality_Calculation	Depth_Mean	Depth_RMS	Depth_StdDev	Depth_SNR	Coverage	Match_Bases	Mismatch_Bases	Total_Bases	Identity	BaseQ_mean	BaseQ_RMS	BaseQ_StdDev	BaseQ_SNR	Match_BaseQ_mean	Match_BaseQ_RMS	Match_BaseQ_StdDev	Match_BaseQ_SNR	Mismatch_BaseQ_mean	Mismatch_BaseQ_RMS	Mismatch_BaseQ_StdDev	Mismatch_BaseQ_SNR	MapQ_mean	MapQ_RMS	MapQ_StdDev	MapQ_SNR	Mapped_Reads	Fraction_Reads	Determination
Serum_S51	CCHFV-1	188	0.0145947518826848	4.26595744680851	12.585875230557	11.8408556439629	0.360274424001065	0.122340425531915	802	3556	4358	0.184029371271225	38.0513997246443	38.1155281119021	2.21008195425738	17.2171894582209	37.0523690773067	37.1889091342233	3.18385118253979	11.6375945209065	38.2767154105737	38.3214161224934	1.85040293213325	20.6856110882002	38.8947368421053	45.4318460067269	23.4787580072355	1.65659260298688	38	0.00623359580052493	Negative	
Serum_S51	CCHFV-2	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Negative	
Serum_S51	CCHFV-3	188	0	1.06382978723404	3.21565320454723	3.03458262627803	0.350568733249109	0.111702127659574	200	1012	1212	0.165016501650165	38.1270627062706	38.1744086862895	1.90067565354069	20.059741721448	37.355	37.4050130330147	1.9336429349805	19.3184580897697	38.2796442687747	38.324635262246	1.85647586578811	20.6195216292371	0	0	0	0	10	0.00164041994750656	Negative	
Serum_S51	CCHFV-4	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Negative	
Serum_S51	CHIKV-1	206	0.021770171009315	4.30582524271845	12.7593483718326	12.01086340997	0.358494231076199	0.203883495145631	887	4822	5709	0.155368716062358	36.5913469959713	36.9321239999734	5.00550778341591	7.31021678104358	35.4137542277339	35.7887135566275	5.16701359936166	6.85381479005765	36.8079635006222	37.1386195685724	4.94478375624388	7.44379639537199	41.695652173913	41.7830837415876	2.70160632746191	15.4336521017424	46	0.00754593175853018	Negative	
Serum_S51	CHIKV-2	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Negative	
Serum_S51	DENV-1-1	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Negative	
Serum_S51	DENV-1-2	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Negative	
Serum_S51	DENV-1-3	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Negative	
Serum_S51	DENV-1-4	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Negative	
